FECHA (YYMMDD);HORA (HHMM);;
131120;1000;;
131120;1100;;
131120;1200;;
131120;1300;;
131120;1400;;
131120;1500;;
131120;1600;;
131120;1700;;
131120;1800;;
131120;1900;;
131120;2000;;
131120;2100;;
131120;2200;;
131120;2300;;
131121;0000;;
131121;0100;;
131121;0200;;
131121;0300;;
131121;0400;;
131121;0500;;
131121;0600;;
131121;0700;;
131121;0800;;
131121;0900;;
131121;1000;;
131121;1100;;
131121;1200;;
131121;1300;;
131121;1400;;
131121;1500;;
131121;1600;;
131121;1700;;
131121;1800;;
131121;1900;;
131121;2000;;
131121;2100;;
131121;2200;;
131121;2300;;
131122;0000;;
131122;0100;;
131122;0200;;
131122;0300;;
131122;0400;;
131122;0500;;
131122;0600;;
131122;0700;;
131122;0800;;
131122;0900;;
131122;1000;;
131122;1100;;
131122;1200;;
131122;1300;;
131122;1400;;
131122;1500;;
131122;1600;;
131122;1700;;
131122;1800;;
131122;1900;;
131122;2000;;
131122;2100;;
131122;2200;;
131122;2300;;
131123;0000;;
131123;0100;;
131123;0200;;
131123;0300;;
131123;0400;;
131123;0500;;
131123;0600;;
131123;0700;;
131123;0800;;
131123;0900;;
131123;1000;;
131123;1100;;
131123;1200;;
131123;1300;;
131123;1400;;
131123;1500;;
131123;1600;;
131123;1700;;
131123;1800;;
131123;1900;;
131123;2000;;
131123;2100;;
131123;2200;;
131123;2300;;
131124;0000;;
131124;0100;;
131124;0200;;
131124;0300;;
131124;0400;;
131124;0500;;
131124;0600;;
131124;0700;;
131124;0800;;
131124;0900;;
131124;1000;;
131124;1100;;
131124;1200;;
131124;1300;;
131124;1400;;
131124;1500;;
131124;1600;;
131124;1700;;
131124;1800;;
131124;1900;;
131124;2000;;
131124;2100;;
131124;2200;;
131124;2300;;
131125;0000;;
131125;0100;;
131125;0200;;
131125;0300;;
131125;0400;;
131125;0500;;
131125;0600;;
131125;0700;;
131125;0800;;
131125;0900;;
131125;1000;;
131125;1100;;
131125;1200;;
131125;1300;;
131125;1400;;
131125;1500;;
131125;1600;;
131125;1700;;
131125;1800;;
131125;1900;;
131125;2000;;
131125;2100;;
131125;2200;;
131125;2300;;
131126;0000;;
131126;0100;;
131126;0200;;
131126;0300;;
131126;0400;;
131126;0500;;
131126;0600;;
131126;0700;;
131126;0800;;
131126;0900;;
131126;1000;;
131126;1100;;
131126;1200;;
131126;1300;;
131126;1400;;
131126;1500;;
131126;1600;;
131126;1700;;
131126;1800;;
131126;1900;;
131126;2000;;
131126;2100;;
131126;2200;;
131126;2300;;
131127;0000;;
131127;0100;;
131127;0200;;
131127;0300;;
131127;0400;;
131127;0500;;
131127;0600;;
131127;0700;;
131127;0800;;
131127;0900;;
131127;1000;;
131127;1100;;
131127;1200;;
131127;1300;;
131127;1400;;
131127;1500;;
131127;1600;;
131127;1700;;
131127;1800;;
131127;1900;;
131127;2000;;
131127;2100;;
131127;2200;;
131127;2300;;
131128;0000;;
131128;0100;;
131128;0200;;
131128;0300;;
131128;0400;;
131128;0500;;
131128;0600;;
131128;0700;;
131128;0800;;
131128;0900;;
131128;1000;;
131128;1100;;
131128;1200;;
131128;1300;;
131128;1400;;
131128;1500;;
131128;1600;;
131128;1700;;
131128;1800;;
131128;1900;;
131128;2000;;
131128;2100;;
131128;2200;;
131128;2300;;
131129;0000;;
131129;0100;;
131129;0200;;
131129;0300;;
131129;0400;;
131129;0500;;
131129;0600;;
131129;0700;;
131129;0800;;
131129;0900;;
131129;1000;;
131129;1100;;
131129;1200;;
131129;1300;;
131129;1400;;
131129;1500;;
131129;1600;;
131129;1700;;
131129;1800;;
131129;1900;;
131129;2000;;
131129;2100;;
131129;2200;;
131129;2300;;
131130;0000;;
131130;0100;;
131130;0200;;
131130;0300;;
131130;0400;;
131130;0500;;
131130;0600;;
131130;0700;;
131130;0800;;
131130;0900;;
131130;1000;;
131130;1100;;
131130;1200;;
131130;1300;;
131130;1400;;
131130;1500;;
131130;1600;;
131130;1700;;
131130;1800;;
131130;1900;;
131130;2000;;
131130;2100;;
131130;2200;;
131130;2300;;
131201;0000;;
131201;0100;;
131201;0200;;
131201;0300;;
131201;0400;;
131201;0500;;
131201;0600;;
131201;0700;;
131201;0800;;
131201;0900;;
131201;1000;;
131201;1100;;
131201;1200;;
131201;1300;;
131201;1400;;
131201;1500;;
131201;1600;;
131201;1700;;
131201;1800;;
131201;1900;;
131201;2000;;
131201;2100;;
131201;2200;;
131201;2300;;
131202;0000;;
131202;0100;;
131202;0200;;
131202;0300;;
131202;0400;;
131202;0500;;
131202;0600;;
131202;0700;;
131202;0800;;
131202;0900;;
131202;1000;;
131202;1100;;
131202;1200;;
131202;1300;;
131202;1400;;
131202;1500;;
131202;1600;;
131202;1700;;
131202;1800;;
131202;1900;;
131202;2000;;
131202;2100;;
131202;2200;;
131202;2300;;
131203;0000;;
131203;0100;;
131203;0200;;
131203;0300;;
131203;0400;;
131203;0500;;
131203;0600;;
131203;0700;;
131203;0800;;
131203;0900;;
131203;1000;;
131203;1100;;
131203;1200;;
131203;1300;;
131203;1400;;
131203;1500;;
131203;1600;;
131203;1700;;
131203;1800;;
131203;1900;;
131203;2000;;
131203;2100;;
131203;2200;;
131203;2300;;
131204;0000;;
131204;0100;;
131204;0200;;
131204;0300;;
131204;0400;;
131204;0500;;
131204;0600;;
131204;0700;;
131204;0800;;
131204;0900;;
131204;1000;;
131204;1100;;
131204;1200;;
